1,x^1,x^2,sin(x_j - x_i)),(1 - x_i) * x_j,- x_i * x_j,x_j / (1 + x_j)
0.00047551632578545373,0.0,0.0,0.010648858692569966,0.029380180985006814,0.0017643466989729875,0.0
0.0078119408043579915,0.0,-0.01672836005690781,0.008486046235357932,0.0,0.0,0.007879601910904425
0.0016193654534571392,0.0,0.0,0.014467382107850915,0.0,0.006930079564423691,-0.014326442964228928
0.0,0.0,0.04124825981927709,0.0030299649339209198,0.00026185155415618883,0.018535590942927824,-0.005637521552039707
-0.00029100730106635905,0.0,-0.026848719902256863,0.006333479550248793,-2.7154563370466785e-05,0.0,-0.004714869487709051
0.0012647973274151527,0.0,0.0,0.2142865716213867,9.942666250319243e-06,0.04393213810143235,-0.12981090926955044
0.010686356209338362,0.0,0.0,0.009959473920766406,0.0,0.025996152403274343,0.028060743143105093
0.0015452181328462287,0.0,0.0,0.008765333187691135,0.0,0.009708032837703795,0.0
0.0009716614381570948,0.0,0.0,0.01146920956524451,0.0,0.004951833002553455,-0.011552458946978312
0.0071915854063172475,0.0,0.0,0.008148181425426995,0.0,0.0031100011511424617,-0.007534306551158152
0.0009513291121201946,0.0,0.0,0.0629345590104938,0.0,0.0,-0.06640430217024898
0.11542774279264759,0.0,-0.006180254494964188,0.01914909118697369,0.0,0.0,0.04325345477879973
0.00166876070535396,0.0,0.007570992265402423,0.010590096157390943,0.03399172139826795,-0.005639694723346486,-0.005317462207744721
0.0027888632414022545,0.0,0.0,0.00846688453924935,0.0001904076175550779,0.009917622971627219,3.6739877481653306e-07
0.0009272973699815677,-1.1330410796052524,0.0,0.0,0.0,0.0,0.0
0.0011157998698394969,0.0,0.0,0.008547046734024085,3.511790035135737e-05,0.011075415154590278,0.0003419073405618834
